Date,Year,Month,Day,Hour,Microsite,Rep,Temp,RH
2015/11/3,2015,11,3,3,Open,1,7.72,100
2015/11/3,2015,11,3,4,Open,1,7.695,99.531
2015/11/3,2015,11,3,5,Open,1,6.94,98.487
2015/11/3,2015,11,3,6,Open,1,6.864,99.589
2015/11/3,2015,11,3,7,Open,1,7.519,99.872
2015/11/3,2015,11,3,8,Open,1,6.661,100
2015/11/3,2015,11,3,9,Open,1,6.864,99.978
2015/11/3,2015,11,3,10,Open,1,5.179,99.45
2015/11/3,2015,11,3,11,Open,1,5.488,99.49
2015/11/3,2015,11,3,12,Open,1,8.344,96.627
2015/11/3,2015,11,3,13,Open,1,11.734,92.272
2015/11/3,2015,11,3,14,Open,1,13.762,84.767
2015/11/3,2015,11,3,15,Open,1,15.414,79.556
2015/11/3,2015,11,3,16,Open,1,17.225,63.085
2015/11/3,2015,11,3,17,Open,1,18.271,60.623
2015/11/3,2015,11,3,18,Open,1,17.605,63.059
2015/11/3,2015,11,3,19,Open,1,15.724,60.839
2015/11/3,2015,11,3,20,Open,1,11.637,68.8
2015/11/3,2015,11,3,21,Open,1,8.99,75.875
2015/11/3,2015,11,3,22,Open,1,7.368,82.889
2015/11/3,2015,11,3,23,Open,1,6.357,88.956
2015/11/3,2015,11,3,24,Open,1,5.872,88.117
2015/11/4,2015,11,4,1,Open,1,5.024,90.909
2015/11/4,2015,11,4,2,Open,1,4.947,87.785
2015/11/4,2015,11,4,3,Open,1,4.48,88.436
2015/11/4,2015,11,4,4,Open,1,4.921,84.81
2015/11/4,2015,11,4,5,Open,1,4.61,85.927
2015/11/4,2015,11,4,6,Open,1,4.35,84.57
2015/11/4,2015,11,4,7,Open,1,4.376,81.358
2015/11/4,2015,11,4,8,Open,1,4.688,74.733
2015/11/4,2015,11,4,9,Open,1,4.558,71.174
2015/11/4,2015,11,4,10,Open,1,4.272,68.541
2015/11/4,2015,11,4,11,Open,1,4.61,68.214
2015/11/4,2015,11,4,12,Open,1,7.142,56.654
2015/11/4,2015,11,4,13,Open,1,9.534,50.515
2015/11/4,2015,11,4,14,Open,1,11.807,47.42
2015/11/4,2015,11,4,15,Open,1,13.546,47.024
2015/11/4,2015,11,4,16,Open,1,14.481,45.08
2015/11/4,2015,11,4,17,Open,1,15.629,44.464
2015/11/4,2015,11,4,18,Open,1,15.414,45.477
2015/11/4,2015,11,4,19,Open,1,14.577,43.108
2015/11/4,2015,11,4,20,Open,1,10.492,49.733
2015/11/4,2015,11,4,21,Open,1,6.281,68.474
2015/11/4,2015,11,4,22,Open,1,4.454,72.528
2015/11/4,2015,11,4,23,Open,1,4.194,68.999
2015/11/4,2015,11,4,24,Open,1,3.459,70.764
2015/11/5,2015,11,5,1,Open,1,3.459,67.746
2015/11/5,2015,11,5,2,Open,1,3.089,71.35
2015/11/5,2015,11,5,3,Open,1,3.459,72.328
2015/11/5,2015,11,5,4,Open,1,1.913,79.879
2015/11/5,2015,11,5,5,Open,1,1.994,75.973
2015/11/5,2015,11,5,6,Open,1,1.697,75.936
2015/11/5,2015,11,5,7,Open,1,2.316,72.288
2015/11/5,2015,11,5,8,Open,1,1.994,74.9
2015/11/5,2015,11,5,9,Open,1,0.66,82.121
2015/11/5,2015,11,5,10,Open,1,1.317,77.212
2015/11/5,2015,11,5,11,Open,1,2.53,73.771
2015/11/5,2015,11,5,12,Open,1,7.645,54.451
2015/11/5,2015,11,5,13,Open,1,12.05,42.183
2015/11/5,2015,11,5,14,Open,1,14.912,39.043
2015/11/5,2015,11,5,15,Open,1,16.796,37.276
2015/11/5,2015,11,5,16,Open,1,18.033,37.597
2015/11/5,2015,11,5,17,Open,1,18.39,38.023
2015/11/5,2015,11,5,18,Open,1,19.365,38.124
2015/11/5,2015,11,5,19,Open,1,18.081,38.574
2015/11/5,2015,11,5,20,Open,1,11.2,53.687
2015/11/5,2015,11,5,21,Open,1,8.369,66.513
2015/11/5,2015,11,5,22,Open,1,5.539,78.05
2015/11/5,2015,11,5,23,Open,1,5.975,70.899
2015/11/5,2015,11,5,24,Open,1,5.796,68.354
2015/11/6,2015,11,6,1,Open,1,4.766,67.292
2015/11/6,2015,11,6,2,Open,1,3.775,72.419
2015/11/6,2015,11,6,3,Open,1,3.749,74.049
2015/11/6,2015,11,6,4,Open,1,3.591,77.118
2015/11/6,2015,11,6,5,Open,1,3.696,77.756
2015/11/6,2015,11,6,6,Open,1,3.195,78.951
2015/11/6,2015,11,6,7,Open,1,2.85,80.879
2015/11/6,2015,11,6,8,Open,1,2.182,82.787
2015/11/6,2015,11,6,9,Open,1,2.903,82.826
2015/11/6,2015,11,6,10,Open,1,2.85,82.11
2015/11/6,2015,11,6,11,Open,1,3.168,83.616
2015/11/6,2015,11,6,12,Open,1,7.318,66.748
2015/11/6,2015,11,6,13,Open,1,11.807,48.807
2015/11/6,2015,11,6,14,Open,1,15.008,42.399
2015/11/6,2015,11,6,15,Open,1,17.082,37.176
2015/11/6,2015,11,6,16,Open,1,19.222,35.007
2015/11/6,2015,11,6,17,Open,1,19.865,37.524
2015/11/6,2015,11,6,18,Open,1,18.913,39.309
2015/11/6,2015,11,6,19,Open,1,18.557,39.465
2015/11/6,2015,11,6,20,Open,1,13.353,46.19
2015/11/6,2015,11,6,21,Open,1,8.419,61.31
2015/11/6,2015,11,6,22,Open,1,6.914,66.447
2015/11/6,2015,11,6,23,Open,1,5.334,68.91
2015/11/6,2015,11,6,24,Open,1,3.142,86.905
2015/11/7,2015,11,7,1,Open,1,3.142,91.975
2015/11/7,2015,11,7,2,Open,1,4.844,75.986
2015/11/7,2015,11,7,3,Open,1,2.85,81.613
2015/11/7,2015,11,7,4,Open,1,1.344,91.058
2015/11/7,2015,11,7,5,Open,1,0.852,92.657
2015/11/7,2015,11,7,6,Open,1,1.425,89.809
2015/11/7,2015,11,7,7,Open,1,0.632,90.278
2015/11/7,2015,11,7,8,Open,1,2.101,82.405
2015/11/7,2015,11,7,9,Open,1,0.605,89.673
2015/11/7,2015,11,7,10,Open,1,2.236,82.124
2015/11/7,2015,11,7,11,Open,1,3.538,75.143
2015/11/7,2015,11,7,12,Open,1,7.845,57.442
2015/11/7,2015,11,7,13,Open,1,12.775,43.87
2015/11/7,2015,11,7,14,Open,1,15.796,40.195
2015/11/7,2015,11,7,15,Open,1,17.938,37.198
2015/11/7,2015,11,7,16,Open,1,19.793,37.06
2015/11/7,2015,11,7,17,Open,1,21.294,35.733
2015/11/7,2015,11,7,18,Open,1,20.674,37.476
2015/11/7,2015,11,7,19,Open,1,20.65,37.212
2015/11/7,2015,11,7,20,Open,1,14.433,52.909
2015/11/7,2015,11,7,21,Open,1,7.995,83.246
2015/11/7,2015,11,7,22,Open,1,9.015,72.194
2015/11/7,2015,11,7,23,Open,1,8.22,73.647
2015/11/7,2015,11,7,24,Open,1,7.318,75.608
2015/11/8,2015,11,8,1,Open,1,4.506,86.958
2015/11/8,2015,11,8,2,Open,1,6.458,75.101
2015/11/8,2015,11,8,3,Open,1,4.61,83.721
2015/11/8,2015,11,8,4,Open,1,5.231,80.918
2015/11/8,2015,11,8,5,Open,1,4.973,77.066
2015/11/8,2015,11,8,6,Open,1,3.617,79.628
2015/11/8,2015,11,8,7,Open,1,2.236,88.609
2015/11/8,2015,11,8,8,Open,1,3.327,85.283
2015/11/8,2015,11,8,9,Open,1,1.994,92.615
2015/11/8,2015,11,8,10,Open,1,0.852,94.367
2015/11/8,2015,11,8,11,Open,1,5.024,78.447
2015/11/8,2015,11,8,12,Open,1,8.941,60.61
2015/11/8,2015,11,8,13,Open,1,13.305,47.459
2015/11/8,2015,11,8,14,Open,1,18.152,39.293
2015/11/8,2015,11,8,15,Open,1,19.389,38.777
2015/11/8,2015,11,8,16,Open,1,21.223,34.308
2015/11/8,2015,11,8,17,Open,1,22.513,34.164
2015/11/8,2015,11,8,18,Open,1,19.08,43.189
2015/11/8,2015,11,8,19,Open,1,19.817,41.861
2015/11/8,2015,11,8,20,Open,1,14.146,60.819
2015/11/8,2015,11,8,21,Open,1,11.54,89.363
2015/11/8,2015,11,8,22,Open,1,10.785,94.232
2015/11/8,2015,11,8,23,Open,1,11.273,86.798
2015/11/8,2015,11,8,24,Open,1,10.247,96.719
2015/11/9,2015,11,9,1,Open,1,9.657,98.306
2015/11/9,2015,11,9,2,Open,1,8.469,98.668
2015/11/9,2015,11,9,3,Open,1,7.995,100
2015/11/9,2015,11,9,4,Open,1,6.535,100
2015/11/9,2015,11,9,5,Open,1,5.616,100
2015/11/9,2015,11,9,6,Open,1,5.334,100
2015/11/9,2015,11,9,7,Open,1,5.179,100
2015/11/9,2015,11,9,8,Open,1,3.643,100
2015/11/9,2015,11,9,9,Open,1,2.503,100
2015/11/9,2015,11,9,10,Open,1,4.168,100
2015/11/9,2015,11,9,11,Open,1,4.454,100
2015/11/9,2015,11,9,12,Open,1,6.408,99.557
2015/11/9,2015,11,9,13,Open,1,10.467,96.376
2015/11/9,2015,11,9,14,Open,1,10.785,96.513
2015/11/9,2015,11,9,15,Open,1,10.051,92.559
2015/11/9,2015,11,9,16,Open,1,7.87,99.189
2015/11/9,2015,11,9,17,Open,1,13.305,98.988
2015/11/9,2015,11,9,18,Open,1,10.956,95.801
2015/11/9,2015,11,9,19,Open,1,8.195,100
2015/11/9,2015,11,9,20,Open,1,8.866,100
2015/11/9,2015,11,9,21,Open,1,7.066,100
2015/11/9,2015,11,9,22,Open,1,5.949,98.746
2015/11/9,2015,11,9,23,Open,1,5.308,98.954
2015/11/9,2015,11,9,24,Open,1,4.818,99.106
2015/11/10,2015,11,10,1,Open,1,5.36,100
2015/11/10,2015,11,10,2,Open,1,4.298,99.2
2015/11/10,2015,11,10,3,Open,1,3.906,100
2015/11/10,2015,11,10,4,Open,1,4.089,99.285
2015/11/10,2015,11,10,5,Open,1,3.485,99.496
2015/11/10,2015,11,10,6,Open,1,3.221,100
2015/11/10,2015,11,10,7,Open,1,4.532,100
2015/11/10,2015,11,10,8,Open,1,4.766,100
2015/11/10,2015,11,10,9,Open,1,5.205,100
2015/11/10,2015,11,10,10,Open,1,5.231,100
2015/11/10,2015,11,10,11,Open,1,5.205,100
2015/11/10,2015,11,10,12,Open,1,6.839,100
2015/11/10,2015,11,10,13,Open,1,8.07,100
2015/11/10,2015,11,10,14,Open,1,8.717,97.599
2015/11/10,2015,11,10,15,Open,1,9.139,97.218
2015/11/10,2015,11,10,16,Open,1,12.485,89.491
2015/11/10,2015,11,10,17,Open,1,13.425,86.54
2015/11/10,2015,11,10,18,Open,1,13.257,81.752
2015/11/10,2015,11,10,19,Open,1,10.443,84.984
2015/11/10,2015,11,10,20,Open,1,8.891,90.002
2015/11/10,2015,11,10,21,Open,1,6,95.568
2015/11/10,2015,11,10,22,Open,1,4.506,96.734
2015/11/10,2015,11,10,23,Open,1,3.827,96.985
2015/11/10,2015,11,10,24,Open,1,3.591,97.114
2015/11/11,2015,11,11,1,Open,1,2.396,97.313
2015/11/11,2015,11,11,2,Open,1,1.507,97.688
2015/11/11,2015,11,11,3,Open,1,1.859,98.123
2015/11/11,2015,11,11,4,Open,1,1.913,98.138
2015/11/11,2015,11,11,5,Open,1,0.301,98.086
2015/11/11,2015,11,11,6,Open,1,1.859,98.506
2015/11/11,2015,11,11,7,Open,1,1.724,98.42
2015/11/11,2015,11,11,8,Open,1,0.66,98.545
2015/11/11,2015,11,11,9,Open,1,0.66,99.185
2015/11/11,2015,11,11,10,Open,1,-0.116,98.844
2015/11/11,2015,11,11,11,Open,1,-0.088,98.521
2015/11/11,2015,11,11,12,Open,1,2.956,98.193
2015/11/11,2015,11,11,13,Open,1,8.866,90.768
2015/11/11,2015,11,11,14,Open,1,12.847,78.894
2015/11/11,2015,11,11,15,Open,1,14.529,59.78
2015/11/11,2015,11,11,16,Open,1,16.32,56.112
2015/11/11,2015,11,11,17,Open,1,16.654,54.422
2015/11/11,2015,11,11,18,Open,1,16.082,56.319
2015/11/11,2015,11,11,19,Open,1,14.84,66.791
2015/11/11,2015,11,11,20,Open,1,9.756,76.612
2015/11/11,2015,11,11,21,Open,1,4.636,92.417
2015/11/11,2015,11,11,22,Open,1,3.749,93.774
2015/11/11,2015,11,11,23,Open,1,4.246,95.166
2015/11/11,2015,11,11,24,Open,1,2.396,95.86
2015/11/12,2015,11,12,1,Open,1,0.852,96.4
2015/11/12,2015,11,12,2,Open,1,2.289,97.765
2015/11/12,2015,11,12,3,Open,1,2.37,97.643
2015/11/12,2015,11,12,4,Open,1,1.017,98.266
2015/11/12,2015,11,12,5,Open,1,0.797,97.87
2015/11/12,2015,11,12,6,Open,1,0.825,98.996
2015/11/12,2015,11,12,7,Open,1,0.079,98.616
2015/11/12,2015,11,12,8,Open,1,1.48,98.922
2015/11/12,2015,11,12,9,Open,1,0.246,99.279
2015/11/12,2015,11,12,10,Open,1,1.425,99.05
2015/11/12,2015,11,12,11,Open,1,1.425,99.145
2015/11/12,2015,11,12,12,Open,1,4.688,98.319
2015/11/12,2015,11,12,13,Open,1,8.419,93.357
2015/11/12,2015,11,12,14,Open,1,11.419,90.012
2015/11/12,2015,11,12,15,Open,1,13.305,74.34
2015/11/12,2015,11,12,16,Open,1,15.724,55.445
2015/11/12,2015,11,12,17,Open,1,15.748,55.296
2015/11/12,2015,11,12,18,Open,1,16.32,50.772
2015/11/12,2015,11,12,19,Open,1,15.581,55.636
2015/11/12,2015,11,12,20,Open,1,9.952,69.79
2015/11/12,2015,11,12,21,Open,1,5.847,86.822
2015/11/12,2015,11,12,22,Open,1,5.514,82.146
2015/11/12,2015,11,12,23,Open,1,4.063,87.771
2015/11/12,2015,11,12,24,Open,1,4.037,85.712
2015/11/13,2015,11,13,1,Open,1,1.453,93.945
2015/11/13,2015,11,13,2,Open,1,1.099,95.115
2015/11/13,2015,11,13,3,Open,1,0.715,95.107
2015/11/13,2015,11,13,4,Open,1,2.021,89.811
2015/11/13,2015,11,13,5,Open,1,1.588,86.752
2015/11/13,2015,11,13,6,Open,1,2.236,86.325
2015/11/13,2015,11,13,7,Open,1,0.577,95.914
2015/11/13,2015,11,13,8,Open,1,1.317,96.481
2015/11/13,2015,11,13,9,Open,1,0.77,91.107
2015/11/13,2015,11,13,10,Open,1,1.588,88.396
2015/11/13,2015,11,13,11,Open,1,0.715,90.398
2015/11/13,2015,11,13,12,Open,1,6.077,73.653
2015/11/13,2015,11,13,13,Open,1,10.638,56.035
2015/11/13,2015,11,13,14,Open,1,15.031,45.335
2015/11/13,2015,11,13,15,Open,1,16.582,49.846
2015/11/13,2015,11,13,16,Open,1,17.605,51.32
2015/11/13,2015,11,13,17,Open,1,19.722,47.149
2015/11/13,2015,11,13,18,Open,1,19.841,47.859
2015/11/13,2015,11,13,19,Open,1,18.414,52.765
2015/11/13,2015,11,13,20,Open,1,11.929,72.517
2015/11/13,2015,11,13,21,Open,1,8.668,89.688
2015/11/13,2015,11,13,22,Open,1,8.095,87.655
2015/11/13,2015,11,13,23,Open,1,7.519,88.214
2015/11/13,2015,11,13,24,Open,1,5.872,95.533
2015/11/14,2015,11,14,1,Open,1,6.839,89.82
2015/11/14,2015,11,14,2,Open,1,6.661,80.28
2015/11/14,2015,11,14,3,Open,1,3.327,89.516
2015/11/14,2015,11,14,4,Open,1,2.236,93.542
2015/11/14,2015,11,14,5,Open,1,3.985,93.639
2015/11/14,2015,11,14,6,Open,1,3.433,86.388
2015/11/14,2015,11,14,7,Open,1,4.818,76.71
2015/11/14,2015,11,14,8,Open,1,3.142,82.229
2015/11/14,2015,11,14,9,Open,1,2.664,73.012
2015/11/14,2015,11,14,10,Open,1,2.664,68.041
2015/11/14,2015,11,14,11,Open,1,3.854,62.148
2015/11/14,2015,11,14,12,Open,1,7.619,51.456
2015/11/14,2015,11,14,13,Open,1,13.016,38.936
2015/11/14,2015,11,14,14,Open,1,16.796,43.591
2015/11/14,2015,11,14,15,Open,1,18.295,40.598
2015/11/14,2015,11,14,16,Open,1,20.412,38.591
2015/11/14,2015,11,14,17,Open,1,22.034,39.968
2015/11/14,2015,11,14,18,Open,1,21.963,40.449
2015/11/14,2015,11,14,19,Open,1,21.175,43.593
2015/11/14,2015,11,14,20,Open,1,13.93,63.736
2015/11/14,2015,11,14,21,Open,1,10.443,78.951
2015/11/14,2015,11,14,22,Open,1,9.41,63.308
2015/11/14,2015,11,14,23,Open,1,7.569,58.192
2015/11/14,2015,11,14,24,Open,1,9.657,37.911
2015/11/15,2015,11,15,1,Open,1,7.544,40.915
2015/11/15,2015,11,15,2,Open,1,6.051,43.372
2015/11/15,2015,11,15,3,Open,1,3.248,59.812
2015/11/15,2015,11,15,4,Open,1,4.999,50.518
2015/11/15,2015,11,15,5,Open,1,5.847,58.821
2015/11/15,2015,11,15,6,Open,1,6.179,74.332
2015/11/15,2015,11,15,7,Open,1,7.217,76.733
2015/11/15,2015,11,15,8,Open,1,6.839,83.428
2015/11/15,2015,11,15,9,Open,1,6.204,87.916
2015/11/15,2015,11,15,10,Open,1,6.204,82.357
2015/11/15,2015,11,15,11,Open,1,6.509,95.11
2015/11/15,2015,11,15,12,Open,1,6.255,98.686
2015/11/15,2015,11,15,13,Open,1,6.433,97.733
2015/11/15,2015,11,15,14,Open,1,10.443,91.941
2015/11/15,2015,11,15,15,Open,1,10.516,88.483
2015/11/15,2015,11,15,16,Open,1,14.361,76.939
2015/11/15,2015,11,15,17,Open,1,11.516,74.511
2015/11/15,2015,11,15,18,Open,1,10.394,72.383
2015/11/15,2015,11,15,19,Open,1,10.222,72.629
2015/11/15,2015,11,15,20,Open,1,8.494,70.496
2015/11/15,2015,11,15,21,Open,1,6.535,75.717
2015/11/15,2015,11,15,22,Open,1,5.334,79.505
2015/11/15,2015,11,15,23,Open,1,4.662,79.116
2015/11/15,2015,11,15,24,Open,1,4.22,78.778
2015/11/16,2015,11,16,1,Open,1,4.063,79.86
2015/11/16,2015,11,16,2,Open,1,3.512,84.293
2015/11/16,2015,11,16,3,Open,1,3.036,86.624
2015/11/16,2015,11,16,4,Open,1,2.021,90.437
2015/11/16,2015,11,16,5,Open,1,1.67,92.035
2015/11/16,2015,11,16,6,Open,1,1.561,85.114
2015/11/16,2015,11,16,7,Open,1,1.697,78.461
2015/11/16,2015,11,16,8,Open,1,1.289,79.975
2015/11/16,2015,11,16,9,Open,1,1.126,76.667
2015/11/16,2015,11,16,10,Open,1,0.495,78.011
2015/11/16,2015,11,16,11,Open,1,0.77,77.094
2015/11/16,2015,11,16,12,Open,1,2.584,67.136
2015/11/16,2015,11,16,13,Open,1,6.23,49.758
2015/11/16,2015,11,16,14,Open,1,8.643,45.814
2015/11/16,2015,11,16,15,Open,1,9.829,38.72
2015/11/16,2015,11,16,16,Open,1,10.98,34.666
2015/11/16,2015,11,16,17,Open,1,11.71,33.383
2015/11/16,2015,11,16,18,Open,1,11.783,33.228
2015/11/16,2015,11,16,19,Open,1,10.956,30.821
2015/11/16,2015,11,16,20,Open,1,7.67,37.102
2015/11/16,2015,11,16,21,Open,1,5.154,43.539
2015/11/16,2015,11,16,22,Open,1,4.089,43.104
2015/11/16,2015,11,16,23,Open,1,5.05,33.995
2015/11/16,2015,11,16,24,Open,1,5.076,32.507
2015/11/17,2015,11,17,1,Open,1,5.282,33.954
2015/11/17,2015,11,17,2,Open,1,5.488,32.45
2015/11/17,2015,11,17,3,Open,1,4.532,36.274
2015/11/17,2015,11,17,4,Open,1,2.664,44.939
2015/11/17,2015,11,17,5,Open,1,3.538,46.17
2015/11/17,2015,11,17,6,Open,1,2.503,52.713
2015/11/17,2015,11,17,7,Open,1,1.317,64.529
2015/11/17,2015,11,17,8,Open,1,2.021,65.357
2015/11/17,2015,11,17,9,Open,1,1.751,66.48
2015/11/17,2015,11,17,10,Open,1,0.605,72.861
2015/11/17,2015,11,17,11,Open,1,1.886,69.934
2015/11/17,2015,11,17,12,Open,1,4.48,61.683
2015/11/17,2015,11,17,13,Open,1,8.618,47.192
2015/11/17,2015,11,17,14,Open,1,11.637,41.349
2015/11/17,2015,11,17,15,Open,1,13.93,39.48
2015/11/17,2015,11,17,16,Open,1,14.553,38.78
2015/11/17,2015,11,17,17,Open,1,15.7,38.517
2015/11/17,2015,11,17,18,Open,1,15.055,42.373
2015/11/17,2015,11,17,19,Open,1,13.305,48.079
2015/11/17,2015,11,17,20,Open,1,10.296,54.667
2015/11/17,2015,11,17,21,Open,1,7.368,65.306
2015/11/17,2015,11,17,22,Open,1,6.408,68.104
2015/11/17,2015,11,17,23,Open,1,5.36,76.23
2015/11/17,2015,11,17,24,Open,1,4.272,82.36
2015/11/18,2015,11,18,1,Open,1,2.717,85.983
2015/11/18,2015,11,18,2,Open,1,3.827,82.963
2015/11/18,2015,11,18,3,Open,1,4.35,82.98
2015/11/18,2015,11,18,4,Open,1,4.063,87.055
2015/11/18,2015,11,18,5,Open,1,3.274,89.199
2015/11/18,2015,11,18,6,Open,1,3.248,90.176
2015/11/18,2015,11,18,7,Open,1,3.089,91.986
2015/11/18,2015,11,18,8,Open,1,0.88,95.974
2015/11/18,2015,11,18,9,Open,1,0.218,95.743
2015/11/18,2015,11,18,10,Open,1,1.643,98.444
2015/11/18,2015,11,18,11,Open,1,2.289,98.891
2015/11/18,2015,11,18,12,Open,1,5.668,95.898
2015/11/18,2015,11,18,13,Open,1,10.467,75.27
2015/11/18,2015,11,18,14,Open,1,12.823,67.584
2015/11/18,2015,11,18,15,Open,1,16.082,55.254
2015/11/18,2015,11,18,16,Open,1,17.677,49.525
2015/11/18,2015,11,18,17,Open,1,18.319,48.231
2015/11/18,2015,11,18,18,Open,1,18.176,52.019
2015/11/18,2015,11,18,19,Open,1,17.058,55.643
2015/11/18,2015,11,18,20,Open,1,11.467,72.06
2015/11/18,2015,11,18,21,Open,1,8.095,84.09
2015/11/18,2015,11,18,22,Open,1,5.616,93.375
2015/11/18,2015,11,18,23,Open,1,7.217,96.047
2015/11/18,2015,11,18,24,Open,1,6.458,97.126
2015/11/19,2015,11,19,1,Open,1,6.535,97.491
2015/11/19,2015,11,19,2,Open,1,5.847,98.474
2015/11/19,2015,11,19,3,Open,1,5.437,97.481
2015/11/19,2015,11,19,4,Open,1,5.076,98.379
2015/11/19,2015,11,19,5,Open,1,4.558,98.984
2015/11/19,2015,11,19,6,Open,1,2.262,97.997
2015/11/19,2015,11,19,7,Open,1,3.67,99.261
2015/11/19,2015,11,19,8,Open,1,2.61,99.342
2015/11/19,2015,11,19,9,Open,1,3.722,99.66
2015/11/19,2015,11,19,10,Open,1,4.194,99.074
2015/11/19,2015,11,19,11,Open,1,5.282,97.682
2015/11/19,2015,11,19,12,Open,1,7.82,94.736
2015/11/19,2015,11,19,13,Open,1,12.171,79.982
2015/11/19,2015,11,19,14,Open,1,15.318,53.922
2015/11/19,2015,11,19,15,Open,1,16.487,50.361
2015/11/19,2015,11,19,16,Open,1,18.557,46.433
2015/11/19,2015,11,19,17,Open,1,19.46,47.432
2015/11/19,2015,11,19,18,Open,1,18.866,50.932
2015/11/19,2015,11,19,19,Open,1,17.701,52.263
2015/11/19,2015,11,19,20,Open,1,12.582,68.202
2015/11/19,2015,11,19,21,Open,1,9.114,84.461
2015/11/19,2015,11,19,22,Open,1,8.668,82.843
2015/11/19,2015,11,19,23,Open,1,8.419,83.477
2015/11/19,2015,11,19,24,Open,1,8.419,87.448
2015/11/20,2015,11,20,1,Open,1,8.095,89.21
2015/11/20,2015,11,20,2,Open,1,7.87,90.182
2015/11/20,2015,11,20,3,Open,1,7.293,89.344
2015/11/20,2015,11,20,4,Open,1,6.204,90.552
2015/11/20,2015,11,20,5,Open,1,6.331,92.206
2015/11/20,2015,11,20,6,Open,1,7.015,85.413
2015/11/20,2015,11,20,7,Open,1,6.153,88.956
2015/11/20,2015,11,20,8,Open,1,6.128,90.431
2015/11/20,2015,11,20,9,Open,1,6.408,90.655
2015/11/20,2015,11,20,10,Open,1,5.179,96.061
2015/11/20,2015,11,20,11,Open,1,6.255,93.969
2015/11/20,2015,11,20,12,Open,1,9.089,83.845
2015/11/20,2015,11,20,13,Open,1,13.594,65.957
2015/11/20,2015,11,20,14,Open,1,16.01,57.308
2015/11/20,2015,11,20,15,Open,1,17.605,53.638
2015/11/20,2015,11,20,16,Open,1,18.866,52.922
2015/11/20,2015,11,20,17,Open,1,20.126,48.243
2015/11/20,2015,11,20,18,Open,1,19.96,51.175
2015/11/20,2015,11,20,19,Open,1,18.747,54.419
2015/11/20,2015,11,20,20,Open,1,12.896,74.819
2015/11/20,2015,11,20,21,Open,1,10.075,81.231
2015/11/20,2015,11,20,22,Open,1,10.198,77.091
2015/11/20,2015,11,20,23,Open,1,8.095,83.905
2015/11/20,2015,11,20,24,Open,1,8.07,85.927
2015/11/21,2015,11,21,1,Open,1,8.469,83.833
2015/11/21,2015,11,21,2,Open,1,7.343,88.481
2015/11/21,2015,11,21,3,Open,1,6.535,92.284
2015/11/21,2015,11,21,4,Open,1,6.788,92.981
2015/11/21,2015,11,21,5,Open,1,4.844,97.072
2015/11/21,2015,11,21,6,Open,1,4.688,98.149
2015/11/21,2015,11,21,7,Open,1,5.924,98.203
2015/11/21,2015,11,21,8,Open,1,6.331,97.876
2015/11/21,2015,11,21,9,Open,1,3.985,99.879
2015/11/21,2015,11,21,10,Open,1,4.558,98.863
2015/11/21,2015,11,21,11,Open,1,4.792,99.533
2015/11/21,2015,11,21,12,Open,1,8.444,96.629
2015/11/21,2015,11,21,13,Open,1,13.353,82.209
2015/11/21,2015,11,21,14,Open,1,17.082,58.623
