Date,Year,Month,Day,Hour,Microsite,Rep,Temp,RH
2015/11/1,2015,11,1,13,Open,1,21.557,45.946
2015/11/1,2015,11,1,14,Open,1,22.944,40.262
2015/11/1,2015,11,1,15,Open,1,25.307,35.991
2015/11/1,2015,11,1,16,Open,1,26.085,34.028
2015/11/1,2015,11,1,17,Open,1,26.867,36.242
2015/11/1,2015,11,1,18,Open,1,27.776,35.728
2015/11/1,2015,11,1,19,Open,1,26.524,35.274
2015/11/1,2015,11,1,20,Open,1,21.318,42.902
2015/11/1,2015,11,1,21,Open,1,17.582,62.459
2015/11/1,2015,11,1,22,Open,1,15.963,73.027
2015/11/1,2015,11,1,23,Open,1,15.031,78.808
2015/11/1,2015,11,1,24,Open,1,14.218,82.757
2015/11/2,2015,11,2,1,Open,1,13.93,81.902
2015/11/2,2015,11,2,2,Open,1,13.93,82.093
2015/11/2,2015,11,2,3,Open,1,11.467,87.901
2015/11/2,2015,11,2,4,Open,1,13.834,88.024
2015/11/2,2015,11,2,5,Open,1,13.642,87.818
2015/11/2,2015,11,2,6,Open,1,14.29,81.927
2015/11/2,2015,11,2,7,Open,1,14.026,86.388
2015/11/2,2015,11,2,8,Open,1,13.906,88.147
2015/11/2,2015,11,2,9,Open,1,14.816,87.593
2015/11/2,2015,11,2,10,Open,1,10.858,97.964
2015/11/2,2015,11,2,11,Open,1,9.903,98.771
2015/11/2,2015,11,2,12,Open,1,9.386,99.369
2015/11/2,2015,11,2,13,Open,1,9.509,99.453
2015/11/2,2015,11,2,14,Open,1,9.238,99.672
2015/11/2,2015,11,2,15,Open,1,8.519,100
2015/11/2,2015,11,2,16,Open,1,8.568,99.827
2015/11/2,2015,11,2,17,Open,1,8.792,99.448
2015/11/2,2015,11,2,18,Open,1,11.832,97.703
2015/11/2,2015,11,2,19,Open,1,10.638,97.978
2015/11/2,2015,11,2,20,Open,1,9.854,97.738
2015/11/2,2015,11,2,21,Open,1,9.089,98.644
2015/11/2,2015,11,2,22,Open,1,8.369,98.048
2015/11/2,2015,11,2,23,Open,1,7.77,98.449
2015/11/2,2015,11,2,24,Open,1,7.419,98.621
2015/11/3,2015,11,3,1,Open,1,7.015,98.851
2015/11/3,2015,11,3,2,Open,1,7.619,99.876
